arrest_date,arrests_count
2014-04-01,27
2014-04-02,27
2014-04-03,42
2014-04-04,38
2014-04-05,43
2014-04-06,19
2014-04-07,30
2014-04-08,37
2014-04-09,41
2014-04-10,49
2014-04-11,40
2014-04-12,18
2014-04-13,30
2014-04-14,28
2014-04-15,34
2014-04-16,33
2014-04-17,43
2014-04-18,36
2014-04-19,32
2014-04-20,30
2014-04-21,36
2014-04-22,51
2014-04-23,45
2014-04-24,46
2014-04-25,49
2014-04-26,34
2014-04-27,19
2014-04-28,33
2014-04-29,41
2014-04-30,36
2014-05-01,33
2014-05-02,43
2014-05-03,16
2014-05-04,28
2014-05-05,23
2014-05-06,36
2014-05-07,42
2014-05-08,45
2014-05-09,31
2014-05-10,36
2014-05-11,16
2014-05-12,24
2014-05-13,42
2014-05-14,39
2014-05-15,37
2014-05-16,42
2014-05-17,36
2014-05-18,20
2014-05-19,28
2014-05-20,47
2014-05-21,50
2014-05-22,39
2014-05-23,41
2014-05-24,27
2014-05-25,19
2014-05-26,30
2014-05-27,20
2014-05-28,23
2014-05-29,34
2014-05-30,40
2014-05-31,36
2014-06-01,16
2014-06-02,20
2014-06-03,47
2014-06-04,26
2014-06-05,38
2014-06-06,46
2014-06-07,32
2014-06-08,28
2014-06-09,10
2014-06-10,35
2014-06-11,57
2014-06-12,39
2014-06-13,50
2014-06-14,31
2014-06-15,15
2014-06-16,26
2014-06-17,26
2014-06-18,44
2014-06-19,43
2014-06-20,45
2014-06-21,29
2014-06-22,23
2014-06-23,17
2014-06-24,42
2014-06-25,50
2014-06-26,36
2014-06-27,34
2014-06-28,21
2014-06-29,40
2014-06-30,36
2014-07-01,33
2014-07-02,46
2014-07-03,48
2014-07-04,17
2014-07-05,32
2014-07-06,14
2014-07-07,23
2014-07-08,50
2014-07-09,46
2014-07-10,41
2014-07-11,35
2014-07-12,26
2014-07-13,17
2014-07-14,29
2014-07-15,38
2014-07-16,32
2014-07-17,41
2014-07-18,52
2014-07-19,27
2014-07-20,28
2014-07-21,25
2014-07-22,55
2014-07-23,42
2014-07-24,33
2014-07-25,42
2014-07-26,32
2014-07-27,27
2014-07-28,41
2014-07-29,40
2014-07-30,50
2014-07-31,37
2014-08-01,36
2014-08-02,20
2014-08-03,19
2014-08-04,19
2014-08-05,34
2014-08-06,43
2014-08-07,34
2014-08-08,48
2014-08-09,34
2014-08-10,32
2014-08-11,26
2014-08-12,25
2014-08-13,46
2014-08-14,43
2014-08-15,27
2014-08-16,28
2014-08-17,23
2014-08-18,21
2014-08-19,39
2014-08-20,47
2014-08-21,37
2014-08-22,28
2014-08-23,27
2014-08-24,18
2014-08-25,25
2014-08-26,35
2014-08-27,46
2014-08-28,47
2014-08-29,26
2014-08-30,31
2014-08-31,13
2014-09-01,22
2014-09-02,36
2014-09-03,32
2014-09-04,29
2014-09-05,41
2014-09-06,21
2014-09-07,32
2014-09-08,27
2014-09-09,38
2014-09-10,48
2014-09-11,25
2014-09-12,27
2014-09-13,32
2014-09-14,18
2014-09-15,37
2014-09-16,40
2014-09-17,29
2014-09-18,53
2014-09-19,41
2014-09-20,33
2014-09-21,20
2014-09-22,18
2014-09-23,37
2014-09-24,30
2014-09-25,22
2014-09-26,31
2014-09-27,22
2014-09-28,15
2014-09-29,18
2014-09-30,32
