"arrest_date","felony_count","misdemeanor_count","total_arrests"
2014-04-01,7,20,27
2014-04-02,8,19,27
2014-04-03,8,34,42
2014-04-04,1,37,38
2014-04-05,6,37,43
2014-04-06,1,18,19
2014-04-07,6,24,30
2014-04-08,5,32,37
2014-04-09,1,40,41
2014-04-10,12,37,49
2014-04-11,4,36,40
2014-04-12,2,16,18
2014-04-13,3,27,30
2014-04-14,1,27,28
2014-04-15,9,25,34
2014-04-16,6,27,33
2014-04-17,11,32,43
2014-04-18,6,30,36
2014-04-19,6,26,32
2014-04-20,6,23,29
2014-04-21,6,30,36
2014-04-22,11,40,51
2014-04-23,6,39,45
2014-04-24,4,42,46
2014-04-25,11,38,49
2014-04-26,5,29,34
2014-04-27,0,19,19
2014-04-28,3,30,33
2014-04-29,7,34,41
2014-04-30,5,31,36
2014-05-01,8,25,33
2014-05-02,5,38,43
2014-05-03,3,13,16
2014-05-04,6,22,28
2014-05-05,2,21,23
2014-05-06,5,31,36
2014-05-07,8,34,42
2014-05-08,12,33,45
2014-05-09,4,27,31
2014-05-10,5,31,36
2014-05-11,3,13,16
2014-05-12,1,23,24
2014-05-13,6,36,42
2014-05-14,5,34,39
2014-05-15,7,30,37
2014-05-16,8,34,42
2014-05-17,6,30,36
2014-05-18,5,15,20
2014-05-19,3,25,28
2014-05-20,5,42,47
2014-05-21,7,43,50
2014-05-22,7,32,39
2014-05-23,2,39,41
2014-05-24,6,21,27
2014-05-25,6,13,19
2014-05-26,8,22,30
2014-05-27,1,19,20
2014-05-28,1,22,23
2014-05-29,11,23,34
2014-05-30,2,37,39
2014-05-31,5,31,36
2014-06-01,2,14,16
2014-06-02,3,17,20
2014-06-03,11,36,47
2014-06-04,6,20,26
2014-06-05,6,32,38
2014-06-06,13,33,46
2014-06-07,2,30,32
2014-06-08,3,25,28
2014-06-09,2,8,10
2014-06-10,8,27,35
2014-06-11,13,44,57
2014-06-12,4,35,39
2014-06-13,9,41,50
2014-06-14,4,27,31
2014-06-15,1,14,15
2014-06-16,7,19,26
2014-06-17,3,23,26
2014-06-18,6,38,44
2014-06-19,7,36,43
2014-06-20,3,42,45
2014-06-21,0,29,29
2014-06-22,3,20,23
2014-06-23,4,13,17
2014-06-24,7,35,42
2014-06-25,6,41,47
2014-06-26,7,29,36
2014-06-27,9,25,34
2014-06-28,7,14,21
2014-06-29,5,35,40
2014-06-30,7,29,36
2014-07-01,6,27,33
2014-07-02,5,41,46
2014-07-03,6,42,48
2014-07-04,1,16,17
2014-07-05,7,25,32
2014-07-06,1,13,14
2014-07-07,2,21,23
2014-07-08,6,44,50
2014-07-09,8,38,46
2014-07-10,5,36,41
2014-07-11,5,30,35
2014-07-12,5,21,26
2014-07-13,1,16,17
2014-07-14,5,24,29
2014-07-15,9,29,38
2014-07-16,2,30,32
2014-07-17,6,35,41
2014-07-18,14,38,52
2014-07-19,5,22,27
2014-07-20,3,25,28
2014-07-21,5,20,25
2014-07-22,10,45,55
2014-07-23,9,33,42
2014-07-24,6,27,33
2014-07-25,7,35,42
2014-07-26,2,30,32
2014-07-27,3,24,27
2014-07-28,3,38,41
2014-07-29,3,37,40
2014-07-30,9,41,50
2014-07-31,9,28,37
2014-08-01,4,32,36
2014-08-02,3,17,20
2014-08-03,5,14,19
2014-08-04,5,14,19
2014-08-05,9,25,34
2014-08-06,7,36,43
2014-08-07,14,20,34
2014-08-08,5,43,48
2014-08-09,2,32,34
2014-08-10,1,31,32
2014-08-11,4,22,26
2014-08-12,1,24,25
2014-08-13,5,41,46
2014-08-14,8,35,43
2014-08-15,6,21,27
2014-08-16,7,21,28
2014-08-17,5,18,23
2014-08-18,4,17,21
2014-08-19,5,34,39
2014-08-20,11,36,47
2014-08-21,8,29,37
2014-08-22,3,25,28
2014-08-23,11,16,27
2014-08-24,3,15,18
2014-08-25,1,24,25
2014-08-26,7,28,35
2014-08-27,7,39,46
2014-08-28,6,41,47
2014-08-29,2,24,26
2014-08-30,6,25,31
2014-08-31,6,7,13
2014-09-01,2,20,22
2014-09-02,4,32,36
2014-09-03,3,29,32
2014-09-04,9,20,29
2014-09-05,7,34,41
2014-09-06,4,17,21
2014-09-07,3,29,32
2014-09-08,4,23,27
2014-09-09,4,34,38
2014-09-10,11,37,48
2014-09-11,5,20,25
2014-09-12,2,25,27
2014-09-13,4,28,32
2014-09-14,2,16,18
2014-09-15,20,17,37
2014-09-16,8,32,40
2014-09-17,3,26,29
2014-09-18,5,47,52
2014-09-19,5,36,41
2014-09-20,3,30,33
2014-09-21,6,14,20
2014-09-22,5,13,18
2014-09-23,6,31,37
2014-09-24,3,27,30
2014-09-25,4,18,22
2014-09-26,5,26,31
2014-09-27,3,19,22
2014-09-28,5,10,15
2014-09-29,6,12,18
2014-09-30,7,25,32
